date,close
2014-08-22,99.05
2014-08-29,99.78
2014-09-05,99.89
2014-09-12,99.48
2014-09-19,99.98
2014-09-26,98.78
2014-10-03,98.17
2014-10-10,94.44
2014-10-17,93.00
2014-10-24,98.62
2014-10-31,101.40
2014-11-07,101.60
2014-11-14,103.22
2014-11-21,103.87
2014-11-28,106.01
2014-12-05,105.38
2014-12-12,102.67
2014-12-19,104.32
2014-12-26,105.04
2015-01-02,102.94
2015-01-09,102.62
2015-01-16,100.82
2015-01-23,104.26
2015-01-30,101.10
2015-02-06,103.13
2015-02-13,106.91
2015-02-20,108.41
2015-02-27,108.40
2015-03-06,107.41
2015-03-13,105.34
2015-03-20,108.53
2015-03-27,105.52
2015-04-02,105.12
2015-04-10,107.75
2015-04-17,106.01
2015-04-24,110.54
2015-05-01,109.05
2015-05-08,108.69
2015-05-15,109.58
2015-05-22,110.47
2015-05-29,110.05
2015-06-05,109.30
2015-06-12,108.75
2015-06-19,109.89
2015-06-26,109.27
2015-07-02,107.95
2015-07-10,107.65
2015-07-17,113.59
2015-07-24,111.10
2015-07-31,111.95
2015-08-07,110.31
2015-08-14,110.51
2015-08-21,102.40
2015-08-28,105.62
2015-09-04,102.16
2015-09-11,105.57
2015-09-18,105.35
2015-09-25,102.92
2015-10-02,104.01
2015-10-09,106.53
2015-10-16,108.12
2015-10-23,112.78
2015-10-30,113.33
2015-11-06,114.79
2015-11-13,109.84
2015-11-20,114.48
2015-11-27,114.31
2015-12-04,115.14
2015-12-11,110.79
2015-12-18,109.83
2015-12-24,112.59
2015-12-31,111.86
2016-01-08,104.01
2016-01-15,100.84
2016-01-22,103.77
2016-01-29,104.13
2016-02-05,98.12
2016-02-12,98.02
2016-02-19,101.63
2016-02-26,103.43
2016-03-04,105.67
2016-03-11,106.49
2016-03-18,107.37
2016-03-24,107.26
2016-04-01,110.36
2016-04-08,109.00
2016-04-15,110.64
2016-04-22,108.98
2016-04-29,105.72
2016-05-06,105.58
2016-05-13,105.50
2016-05-20,106.47
2016-05-27,110.13
2016-06-03,110.06
2016-06-10,108.94
2016-06-17,106.49
2016-06-24,104.29
2016-07-01,108.08
2016-07-08,110.30
2016-07-15,111.80
2016-07-22,113.65
2016-07-29,115.23
2016-08-05,116.78
2016-08-12,117.20
2016-08-19,117.26
2016-08-26,116.78
2016-09-02,117.12
2016-09-09,114.28
2016-09-16,117.29
2016-09-23,118.33
2016-09-30,118.72
2016-10-07,118.47
2016-10-14,117.14
2016-10-21,118.15
2016-10-28,117.10
2016-11-04,113.65
2016-11-11,115.80
2016-11-18,117.32
2016-11-25,118.80
2016-12-02,115.70
2016-12-09,119.50
2016-12-16,119.60
2016-12-23,120.20
2016-12-30,118.48
2017-01-06,121.93
2017-01-13,123.16
2017-01-20,123.25
2017-01-27,125.80
2017-02-03,125.68
2017-02-10,127.38
2017-02-17,129.81
2017-02-24,130.26
2017-03-03,131.02
2017-03-10,131.39
2017-03-17,131.69
2017-03-24,130.63
2017-03-31,132.38
2017-04-07,131.97
2017-04-13,130.40
2017-04-21,132.56
2017-04-28,135.99
2017-05-05,137.54
2017-05-12,138.60
2017-05-19,137.84
2017-05-26,141.22
2017-06-02,143.46
2017-06-09,139.98
2017-06-16,138.15
2017-06-23,141.24
2017-06-30,137.64
2017-07-07,137.76
2017-07-14,142.12
2017-07-21,144.11
2017-07-28,143.84
2017-08-04,143.65
2017-08-11,142.10
2017-08-18,141.23
2017-08-25,141.97
2017-09-01,146.00
2017-09-08,144.21
2017-09-15,146.06
2017-09-22,144.32
2017-09-29,145.45
2017-10-06,147.66
2017-10-13,148.34
2017-10-20,148.71
2017-10-27,151.24
2017-11-03,153.27
2017-11-10,153.68
2017-11-17,153.95
2017-11-24,156.26
2017-12-01,154.49
2017-12-08,154.70
2017-12-15,157.65
2017-12-22,157.37
2017-12-29,155.76
2018-01-05,161.92
2018-01-12,164.49
2018-01-19,166.34
2018-01-26,170.93
2018-02-02,164.61
2018-02-09,156.10
2018-02-16,164.96
2018-02-23,168.17
2018-03-02,165.99
2018-03-09,173.16
2018-03-16,171.02
2018-03-23,158.51
2018-03-29,160.13
2018-04-06,156.63
2018-04-13,161.37
2018-04-20,162.30
2018-04-27,162.09
2018-05-04,164.87
2018-05-11,169.46
2018-05-18,167.46
2018-05-25,169.72
2018-06-01,172.74
2018-06-08,174.44
2018-06-15,176.98
2018-06-22,175.32
2018-06-29,171.65
2018-07-06,175.61
2018-07-13,179.61
2018-07-20,178.99
2018-07-27,177.62
2018-08-03,180.08
2018-08-10,180.52
2018-08-17,179.86
2018-08-24,182.48
2018-08-31,186.65
2018-09-07,181.11
2018-09-14,183.99
2018-09-21,183.71
2018-09-28,185.79
2018-10-05,180.15
2018-10-12,174.32
2018-10-19,173.02
2018-10-26,166.66
2018-11-02,169.38
2018-11-09,171.52
2018-11-16,167.50
2018-11-23,159.21
2018-11-30,169.37
2018-12-07,161.38
2018-12-14,161.08
2018-12-21,147.57
2018-12-28,152.97
2019-01-04,156.23
2019-01-11,160.69
2019-01-18,165.25
2019-01-25,165.15
2019-02-01,167.45
2019-02-08,168.56
2019-02-15,171.94
2019-02-22,172.89
2019-03-01,174.39
2019-03-08,171.17
2019-03-15,178.35
2019-03-22,178.56
2019-03-29,179.66
2019-04-05,184.66
2019-04-12,185.83
2019-04-18,187.39
2019-04-26,190.65
2019-05-03,191.11
2019-05-10,185.00
2019-05-17,183.04
2019-05-24,178.16
2019-05-31,173.95
2019-06-07,181.04
2019-06-14,182.64
2019-06-21,188.57
2019-06-28,186.74
2019-07-05,191.05
2019-07-12,193.53
2019-07-19,191.01
2019-07-26,195.29
2019-08-02,187.35
2019-08-09,186.49
2019-08-16,185.48
2019-08-23,182.07
2019-08-30,187.47
2019-09-06,191.59
2019-09-13,192.54
2019-09-20,190.80
2019-09-27,187.03
2019-10-04,188.81
2019-10-11,191.11
2019-10-18,191.69
2019-10-25,195.64
2019-11-01,198.87
2019-11-08,201.23
2019-11-15,202.91
2019-11-22,201.83
2019-11-29,205.10
2019-12-06,205.00
2019-12-13,207.19
2019-12-20,211.71
2019-12-27,213.61
2020-01-03,214.18
2020-01-10,218.43
2020-01-17,223.38
2020-01-24,222.70
2020-01-31,219.07
2020-02-07,229.20
2020-02-14,234.64
2020-02-21,230.27
2020-02-28,205.80
2020-03-06,208.02
2020-03-13,192.34
2020-03-20,170.70
2020-03-27,185.30
2020-04-03,183.37
2020-04-09,200.86
2020-04-17,215.29
2020-04-24,213.84
2020-05-01,212.74
2020-05-08,224.86
2020-05-15,223.27
2020-05-22,229.66
2020-05-29,233.36
2020-06-05,239.69
2020-06-12,235.88
2020-06-19,244.24
2020-06-26,240.22
2020-07-02,252.19
2020-07-10,263.97
2020-07-17,259.42
2020-07-24,255.56
2020-07-31,265.79
2020-08-07,271.47
2020-08-14,272.16
2020-08-21,281.87
2020-08-28,292.53
2020-09-04,283.58
2020-09-11,270.45
2020-09-18,266.87
2020-09-25,271.56
2020-10-02,274.31
2020-10-09,285.71
2020-10-16,288.51
2020-10-23,284.74
2020-10-30,269.38
2020-11-06,294.61
2020-11-13,290.93
2020-11-20,290.38
2020-11-27,299.01
2020-12-04,305.52
2020-12-11,301.85
2020-12-18,310.06
2020-12-24,309.56
2020-12-31,313.74
2021-01-08,319.03
2021-01-15,311.86
2021-01-22,325.42
2021-01-29,314.56
2021-02-05,331.36
2021-02-12,336.45
2021-02-19,331.02
2021-02-26,314.14
2021-03-05,308.68
2021-03-12,315.46
2021-03-19,313.14
2021-03-26,316.00
2021-04-01,324.57
2021-04-09,337.11
2021-04-16,342.01
2021-04-23,339.42
2021-04-30,337.99
2021-05-07,334.20
2021-05-14,326.39
2021-05-21,327.01
2021-05-28,333.93
2021-06-04,335.60
2021-06-11,341.24
2021-06-18,342.63
2021-06-25,349.46
2021-07-02,358.64
2021-07-09,361.01
2021-07-16,357.60
2021-07-23,368.20
2021-07-30,364.57
2021-08-06,368.05
2021-08-13,368.82
2021-08-20,367.73
2021-08-27,376.04
2021-09-03,381.57
2021-09-10,376.59
2021-09-17,373.83
2021-09-24,373.33
2021-10-01,360.18
2021-10-08,361.16
2021-10-15,368.94
2021-10-22,374.10
2021-10-29,386.11
2021-11-05,398.60
2021-11-12,394.70
2021-11-19,403.99
2021-11-26,391.20
2021-12-03,383.13
2021-12-10,398.01
2021-12-17,384.91
2021-12-23,396.92
2021-12-31,397.85
2022-01-07,379.86
2022-01-14,380.01
2022-01-21,351.69
2022-01-28,351.80
2022-02-04,358.01
2022-02-11,347.06
2022-02-18,341.51
2022-02-25,345.77
2022-03-04,337.30
2022-03-11,324.40
2022-03-18,351.49
2022-03-25,359.35
2022-04-01,361.85
2022-04-08,349.15
2022-04-14,338.43
2022-04-22,325.40
2022-04-29,313.25
2022-05-06,309.25
2022-05-13,301.94
2022-05-20,288.68
2022-05-27,309.10
2022-06-03,306.20
2022-06-10,288.84
2022-06-17,274.69
2022-06-24,294.61
2022-07-01,282.13
2022-07-08,295.35
2022-07-15,291.87
2022-07-22,301.99
2022-07-29,315.46
2022-08-05,321.75
2022-08-12,330.39
2022-08-19,322.86
2022-08-26,307.44
2022-09-02,295.17
2022-09-09,307.09
2022-09-16,289.32
2022-09-23,275.51
2022-09-30,267.26
