date,adj_close
2013-08-23,696291.3645
2013-08-30,726498.571
2013-09-06,684391.5559
2013-09-13,655404.8427
2013-09-20,625807.8829
2013-09-27,622451.5266
2013-10-04,614518.3209
2013-10-11,615128.5674
2013-10-18,550137.3051
2013-10-25,535186.2635
2013-11-01,536406.7567
2013-11-08,539763.113
2013-11-15,511996.8929
2013-11-22,510471.2765
2013-11-29,480874.3166
2013-12-06,474771.8507
2013-12-13,493689.4951
2013-12-20,460736.179
2013-12-27,444564.6442
2014-01-03,457684.946
2014-01-10,446700.5073
2014-01-17,436631.4385
2014-01-24,453108.0966
2014-01-31,458447.7543
2014-02-07,439301.2674
2014-02-14,402915.3141
2014-02-21,401542.2593
2014-02-28,390252.6973
2014-03-07,387048.9027
2014-03-14,411306.2048
2014-03-21,402839.0333
2014-03-28,429308.4794
2014-04-04,437394.2467
2014-04-11,468745.6655
2014-04-17,434495.5754
2014-04-25,433122.5206
2014-05-02,413747.1912
2014-05-09,423190.7573
2014-05-16,409246.6226
2014-05-23,379497.1011
2014-05-30,361494.8265
2014-06-06,343797.6753
2014-06-13,349213.6138
2014-06-20,341356.6889
2014-06-27,330295.9694
2014-07-03,310462.955
2014-07-11,314124.4346
2014-07-18,304818.174
2014-07-25,298639.4273
2014-08-01,317633.3525
2014-08-08,314963.5237
2014-08-15,290935.064
2014-08-22,276403.567
2014-08-29,270110.399
2014-09-05,268966.1866
2014-09-12,272017.4196
2014-09-19,265914.9536
2014-09-26,274000.721
2014-10-03,278806.4129
2014-10-10,310157.8318
2014-10-17,323964.661
2014-10-24,269500.1524
2014-10-31,247149.8708
2014-11-07,245624.2544
2014-11-14,234105.8499
2014-11-21,229376.4388
2014-11-28,215417.0479
2014-12-05,219231.0891
2014-12-12,236394.2746
2014-12-19,221214.3906
2014-12-26,216484.9795
2015-01-02,229071.3155
2015-01-09,230368.0895
2015-01-16,242420.4597
2015-01-23,218773.4042
2015-01-30,238606.4185
2015-02-06,224341.9044
2015-02-13,200618.568
2015-02-20,192456.5198
2015-02-27,192227.6773
2015-03-06,197643.6159
2015-03-13,208551.7737
2015-03-20,188489.9169
2015-03-27,204966.575
2015-04-02,206797.3148
2015-04-10,191922.554
2015-04-17,200923.6913
2015-04-24,177047.7933
2015-05-01,183607.9442
2015-05-08,185057.2798
2015-05-15,179946.4646
2015-05-22,175751.0193
2015-05-29,177200.3549
2015-06-05,180709.2729
2015-06-12,183073.9784
2015-06-19,176361.2659
2015-06-26,178649.6906
2015-07-02,184599.5949
2015-07-10,185896.3689
2015-07-17,157596.1831
2015-07-24,167894.0944
2015-07-31,163851.2107
2015-08-07,171097.889
2015-08-14,169572.2725
2015-08-21,209162.0203
2015-08-28,186125.2114
2015-09-04,202754.4311
2015-09-11,182616.2935
2015-09-18,181700.9236
2015-09-25,194821.2254
2015-10-02,186735.458
2015-10-09,173462.5945
2015-10-16,165300.5463
2015-10-23,144781.0046
2015-10-30,142263.7374
2015-11-06,136924.0797
2015-11-13,155689.1625
2015-11-20,137076.6413
2015-11-27,137381.7646
2015-12-04,133872.8467
2015-12-11,149281.5732
2015-12-18,151036.0322
2015-12-24,140127.8743
2015-12-31,142263.7374
2016-01-08,175598.4576
2016-01-15,189710.4101
2016-01-22,173310.0329
2016-01-29,169953.6766
2016-02-05,201076.253
2016-02-12,201305.0954
2016-02-19,179107.3755
2016-02-26,169419.7109
2016-03-04,157825.0256
2016-03-11,153782.1419
2016-03-18,148366.2033
2016-03-24,148823.8883
2016-04-01,136313.8331
2016-04-08,141195.8058
2016-04-15,134711.9358
2016-04-22,140661.8401
2016-04-29,153705.861
2016-05-06,154239.8268
2016-05-13,154239.8268
2016-05-20,149739.2582
2016-05-27,134788.2166
2016-06-03,135017.0591
2016-06-10,138907.3811
2016-06-17,147374.5526
2016-06-24,155231.4775
2016-07-01,138602.2578
2016-07-08,130058.8055
2016-07-15,124947.9903
2016-07-22,118692.9627
2016-07-29,113810.9899
2016-08-05,109157.8596
2016-08-12,107937.3664
2016-08-19,107784.8048
2016-08-26,109081.5788
2016-09-02,108166.2089
2016-09-09,115870.5722
2016-09-16,106106.6267
2016-09-23,103055.3937
2016-09-30,101987.4621
2016-10-07,102445.1471
2016-10-14,105954.065
2016-10-21,103207.9553
2016-10-28,105648.9417
2016-11-04,115565.4489
2016-11-11,108471.3322
2016-11-18,104199.606
2016-11-25,100309.284
2016-12-02,108242.4897
2016-12-09,98249.7017
2016-12-16,96800.3661
2016-12-23,95351.0304
2016-12-30,99393.9141
2017-01-06,91231.8659
2017-01-13,88504.8264
