date,split_adj_close,adj_close,factor
2002-02-08,36.170000,30.516500,0.8436964335
2002-02-15,35.780000,30.187500,0.8436975964
2002-02-22,33.650000,28.390400,0.8436968796
2002-03-01,35.740000,30.153700,0.8436961388
2002-03-08,38.670000,32.625800,0.8436979571
2002-03-15,37.230000,31.410800,0.8436959441
2002-03-22,36.680000,30.946800,0.8436968375
2002-03-28,36.060001,30.423700,0.8436965934
2002-04-05,34.370000,28.997900,0.8436979924
2002-04-12,33.520000,28.280700,0.8436963007
2002-04-19,34.460000,29.073800,0.8436970400
2002-04-26,31.040001,26.188400,0.8436984264
2002-05-03,29.740000,25.091600,0.8436987223
2002-05-10,29.560000,24.939700,0.8436975643
2002-05-17,32.930000,27.783000,0.8436987549
2002-05-24,31.240000,26.357100,0.8436971831
2002-05-31,30.040001,25.344700,0.8436983740
2002-06-07,28.300000,23.876600,0.8436961131
2002-06-14,27.620000,23.302900,0.8436965967
2002-06-21,25.820000,21.784300,0.8436986832
2002-06-28,26.100000,22.020500,0.8436973180
2002-07-05,26.340000,22.223000,0.8436977980
2002-07-12,24.800000,20.923700,0.8436975806
2002-07-19,23.990000,20.240300,0.8436973739
2002-07-26,22.670000,19.126600,0.8436965152
2002-08-02,22.250000,18.772300,0.8436988764
2002-08-09,23.330000,19.683500,0.8436990999
2002-08-16,24.700000,20.839300,0.8436963563
2002-08-23,25.150000,21.219000,0.8436978131
2002-08-30,23.490000,19.818400,0.8436951894
2002-09-06,22.850000,19.278500,0.8436980306
2002-09-13,22.990000,19.396600,0.8436972597
2002-09-20,21.670000,18.282900,0.8436963544
2002-09-27,21.310000,17.979200,0.8436977945
2002-10-04,20.350000,17.169200,0.8436953317
2002-10-11,22.220000,18.747000,0.8436993699
2002-10-18,23.810000,20.088400,0.8436959261
2002-10-25,24.700000,20.839300,0.8436963563
2002-11-01,25.250000,21.303400,0.8436990099
2002-11-08,25.070000,21.151500,0.8436976466
2002-11-15,26.440000,22.307400,0.8436989410
2002-11-22,27.720000,23.387300,0.8436976912
2002-11-29,27.720000,23.387300,0.8436976912
2002-12-06,26.470000,22.332700,0.8436985266
2002-12-13,25.040001,21.126200,0.8436980494
2002-12-20,25.320000,21.362400,0.8436966825
2002-12-27,24.820000,20.940600,0.8436986301
2003-01-03,25.680000,21.666100,0.8436954829
2003-01-10,27.100000,22.864200,0.8436974170
2003-01-17,25.310000,21.354000,0.8436981430
2003-01-24,24.820000,20.940600,0.8436986301
2003-01-31,24.440000,20.620000,0.8436988543
2003-02-07,23.810000,20.088400,0.8436959261
2003-02-14,24.490000,20.662100,0.8436953859
2003-02-21,25.170000,21.235900,0.8436988478
2003-02-28,25.160000,21.227400,0.8436963434
2003-03-07,24.540000,20.704300,0.8436960065
2003-03-14,25.720000,21.699900,0.8436975117
2003-03-21,27.170000,22.923300,0.8436989326
2003-03-28,26.080000,22.003600,0.8436963190
2003-04-04,26.049999,21.978300,0.8436967694
2003-04-11,25.510000,21.522700,0.8436965896
2003-04-17,26.820000,22.628000,0.8436987323
2003-04-25,26.950000,22.737600,0.8436957328
2003-05-02,28.280000,23.859800,0.8436987270
2003-05-09,28.410000,23.969400,0.8436958817
2003-05-16,28.700000,24.214100,0.8436968641
2003-05-23,28.100000,23.707900,0.8436975089
2003-05-30,29.790000,25.133700,0.8436958711
2003-06-06,30.130000,25.420600,0.8436973116
2003-06-13,29.960000,25.277200,0.8436982644
2003-06-20,30.380000,25.631500,0.8436965109
2003-06-27,29.830000,25.167500,0.8436976198
2003-07-03,30.580000,25.800300,0.8436984957
