date,adj_close
2016-07-08,2.0525
2016-07-15,2.1362
2016-07-22,2.2425
2016-07-29,2.3361
2016-08-05,2.4306
2016-08-12,2.4559
2016-08-19,2.4581
2016-08-26,2.4276
2016-09-02,2.445
2016-09-09,2.2663
2016-09-16,2.4626
2016-09-23,2.5274
2016-09-30,2.5456
2016-10-07,2.5311
2016-10-14,2.4414
2016-10-21,2.5042
2016-10-28,2.442
2016-11-04,2.2241
2016-11-11,2.345
2016-11-18,2.4375
2016-11-25,2.527
2016-12-02,2.3294
2016-12-09,2.5634
2016-12-16,2.5913
2016-12-23,2.6305
2016-12-30,2.5186
2017-01-06,2.7378
2017-01-13,2.8205
2017-01-20,2.8237
2017-01-27,2.9999
2017-02-03,2.9892
2017-02-10,3.1104
2017-02-17,3.2877
2017-02-24,3.3222
2017-03-03,3.3764
2017-03-10,3.4006
2017-03-17,3.4441
2017-03-24,3.3566
2017-03-31,3.4924
2017-04-07,3.4596
2017-04-13,3.3348
2017-04-21,3.4972
2017-04-28,3.7743
2017-05-05,3.8998
2017-05-12,3.9889
2017-05-19,3.9105
2017-05-26,4.2023
2017-06-02,4.4015
2017-06-09,4.0887
2017-06-16,3.9509
2017-06-23,4.2078
2017-06-30,3.8666
2017-07-07,3.8792
2017-07-14,4.2601
2017-07-21,4.4367
2017-07-28,4.4098
2017-08-04,4.384
2017-08-11,4.2348
2017-08-18,4.1433
2017-08-25,4.2074
2017-09-01,4.5685
2017-09-08,4.4011
2017-09-15,4.5574
2017-09-22,4.4296
2017-09-29,4.5234
2017-10-06,4.7253
2017-10-13,4.7918
2017-10-20,4.8211
2017-10-27,5.0551
2017-11-03,5.2547
2017-11-10,5.2954
2017-11-17,5.3144
2017-11-24,5.552
2017-12-01,5.3556
2017-12-08,5.3687
2017-12-15,5.6692
2017-12-22,5.6747
2017-12-29,5.4922
2018-01-05,6.1585
2018-01-12,6.4452
2018-01-19,6.6665
2018-01-26,7.2054
2018-02-02,6.4206
2018-02-09,5.3897
2018-02-16,6.345
2018-02-23,6.697
2018-03-02,6.4369
2018-03-09,7.2743
2018-03-16,7.0125
2018-03-23,5.5595
2018-03-29,5.6981
2018-04-06,5.2824
2018-04-13,5.7587
2018-04-20,5.8402
2018-04-27,5.7975
2018-05-04,6.0806
2018-05-11,6.5921
2018-05-18,6.3482
2018-05-25,6.598
2018-06-01,6.9472
2018-06-08,7.1432
2018-06-15,7.452
2018-06-22,7.2549
2018-06-29,6.7833
2018-07-06,7.2549
2018-07-13,7.7513
2018-07-20,7.6658
2018-07-27,7.4758
2018-08-03,7.7597
2018-08-10,7.8072
2018-08-17,7.7086
2018-08-24,8.0412
2018-08-31,8.5875
2018-09-07,7.8476
2018-09-14,8.1968
2018-09-21,8.1397
2018-09-28,8.4497
2018-10-05,7.6908
2018-10-12,6.8926
2018-10-19,6.699
2018-10-26,5.9091
2018-11-02,6.1823
2018-11-09,6.3688
2018-11-16,5.8972
2018-11-23,5.0349
2018-11-30,6.0208
2018-12-07,5.1561
2018-12-14,5.0955
2018-12-21,3.8982
2018-12-28,4.307
2019-01-04,4.5507
2019-01-11,4.9336
2019-01-18,5.3403
2019-01-25,5.3225
2019-02-01,5.5187
2019-02-08,5.6162
2019-02-15,5.9491
2019-02-22,6.0407
2019-03-01,6.1905
2019-03-08,5.8445
2019-03-15,6.5782
2019-03-22,6.6317
2019-03-29,6.7399
2019-04-05,7.3026
2019-04-12,7.431
2019-04-18,7.6083
2019-04-26,8.0032
2019-05-03,8.0377
2019-05-10,7.2728
2019-05-17,6.9992
2019-05-24,6.4306
2019-05-31,5.9739
2019-06-07,6.6816
2019-06-14,6.8553
2019-06-21,7.5357
2019-06-28,7.3478
2019-07-05,7.8533
2019-07-12,8.1471
2019-07-19,7.82
2019-07-26,8.3351
2019-08-02,7.3418
2019-08-09,7.1812
2019-08-16,7.0147
2019-08-23,6.6352
2019-08-30,7.1955
2019-09-06,7.6606
2019-09-13,7.7653
2019-09-20,7.544
2019-09-27,7.1408
2019-10-04,7.3061
2019-10-11,7.5464
2019-10-18,7.6118
2019-10-25,8.0674
2019-11-01,8.4659
2019-11-08,8.7621
2019-11-15,8.9465
2019-11-22,8.8264
2019-11-29,9.2475
2019-12-06,9.2011
2019-12-13,9.4996
2019-12-20,10.1265
2019-12-27,10.4491
2020-01-03,10.5158
2020-01-10,11.1334
2020-01-17,11.8878
