date,close,adj_close
2008-02-22,43.68,37.5742
2008-02-29,42.95,36.9463
2008-03-07,42.07,36.1893
2008-03-14,42.25,36.3441
2008-03-20,43.09,37.0947
2008-03-28,43.49,37.439
2008-04-04,45.86,39.4793
2008-04-11,44.28,38.1191
2008-04-18,46.71,40.211
2008-04-25,47.15,40.5898
2008-05-02,48.77,41.9844
2008-05-09,48.21,41.5023
2008-05-16,50.0099,43.0518
2008-05-23,48.2,41.4937
2008-05-30,50.01,43.0519
2008-06-06,49.03,42.2082
2008-06-13,48.37,41.6401
2008-06-20,47.42,40.8519
2008-06-27,45.65,39.327
2008-07-03,44.63,38.4483
2008-07-11,44.56,38.388
2008-07-18,44.59,38.4138
2008-07-25,45.27,38.9997
2008-08-01,44.88,38.6637
2008-08-08,47.32,40.7657
2008-08-15,48.16,41.4894
2008-08-22,47.49,40.9122
2008-08-29,46.12,39.7319
2008-09-05,43.45,37.4317
2008-09-12,43.43,37.4145
2008-09-19,42.9,36.9821
2008-09-26,41.08,35.4132
2008-10-03,36.18,31.1891
2008-10-10,31.32,26.9995
2008-10-17,32.3,27.8443
2008-10-24,29.51,25.4392
2008-10-31,32.89,28.3529
2008-11-07,31.19,26.8875
2008-11-14,28.98,24.9823
2008-11-21,26.67,22.991
2008-11-28,29.12,25.103
2008-12-05,28.94,24.9478
2008-12-12,29.68,25.5858
2008-12-19,29.86,25.7784
2008-12-26,29.13,25.1482
2009-01-02,31.03,26.7885
2009-01-09,30.07,25.9597
2009-01-16,29.42,25.3985
2009-01-23,28.9,24.9496
2009-01-30,29.06,25.0877
2009-02-06,31.37,27.082
2009-02-13,30.43,26.2705
2009-02-20,28.87,24.9237
2009-02-27,27.53,23.7669
2009-03-06,26.3,22.705
2009-03-13,28.74,24.8115
2009-03-20,29.18,25.2335
2009-03-27,30.82,26.6517
2009-04-03,32.35,27.9748
2009-04-09,32.94,28.485
2009-04-17,33.31,28.805
2009-04-24,33.69,29.1336
2009-05-01,34.37,29.7216
2009-05-08,34.23,29.6005
2009-05-15,33.37,28.8569
2009-05-22,33.54,29.0039
2009-05-29,35.38,30.595
2009-06-05,36.78,31.8057
2009-06-12,36.65,31.6933
2009-06-19,36.16,31.3075
2009-06-26,36.37,31.4893
2009-07-02,35.6,30.8227
2009-07-10,34.92,30.2339
2009-07-17,37.56,32.5197
2009-07-24,39.05,33.8097
2009-07-31,39.45,34.156
2009-08-07,39.88,34.5283
2009-08-14,39.63,34.3119
2009-08-21,40.29,34.8833
2009-08-28,40.44,35.0132
2009-09-04,40.36,34.9439
2009-09-11,41.52,35.9482
2009-09-18,42.44,36.7801
2009-09-25,41.7,36.1388
2009-10-02,40.88,35.4281
2009-10-09,42.48,36.8147
2009-10-16,42.78,37.0747
2009-10-23,43.13,37.3781
2009-10-30,40.96,35.4974
2009-11-06,42.6,36.9187
2009-11-13,44.01,38.1407
2009-11-20,43.44,37.6467
2009-11-27,43.51,37.7074
2009-12-04,44.12,38.236
2009-12-11,44.13,38.2447
2009-12-18,44.46,38.5979
2009-12-24,45.98,39.9175
2009-12-31,45.75,39.7178
2010-01-08,46.55,40.4124
2010-01-15,45.85,39.8047
2010-01-22,44.16,38.3375
2010-01-29,42.79,37.1481
2010-02-05,42.98,37.3131
2010-02-12,43.76,37.9902
2010-02-19,44.83,38.9191
2010-02-26,44.76,38.8584
2010-03-05,46.44,40.3169
2010-03-12,47.36,41.1156
2010-03-19,47.49,41.2731
2010-03-26,48.0,41.7163
2010-04-01,48.16,41.8554
2010-04-09,49.03,42.6115
2010-04-16,49.53,43.046
2010-04-23,50.52,43.9064
2010-04-30,49.2375,42.7918
2010-05-07,45.41,39.4654
2010-05-14,46.93,40.7864
2010-05-21,44.84,38.97
2010-05-28,45.6,39.6305
2010-06-04,45.0925,39.1895
2010-06-11,45.5,39.5436
2010-06-18,47.0,40.9249
2010-06-25,45.27,39.4185
2010-07-02,42.47,36.9804
2010-07-09,44.62,38.8525
2010-07-16,44.34,38.6087
2010-07-23,46.06,40.1064
2010-07-30,45.81,39.8887
2010-08-06,46.76,40.7159
2010-08-13,44.72,38.9396
2010-08-20,44.92,39.1137
2010-08-27,44.07,38.3736
2010-09-03,46.01,40.0628
2010-09-10,46.6,40.5766
2010-09-17,47.995,41.8884
2010-09-24,49.66,43.3415
2010-10-01,49.01,42.7742
2010-10-08,49.75,43.4201
2010-10-15,51.49,44.9387
2010-10-22,51.64,45.0696
2010-10-29,52.18,45.5409
2010-11-05,53.67,46.8413
2010-11-12,52.51,45.8289
2010-11-19,52.47,45.794
2010-11-26,52.77,46.0558
2010-12-03,53.87,47.0159
2010-12-10,54.495,47.5613
2010-12-17,54.52,47.6777
2010-12-23,54.742,47.8718
2010-12-31,54.46,47.6252
2011-01-07,55.87,48.8583
2011-01-14,57.0,49.8465
2011-01-21,55.68,48.6921
