date,split_adj_close,adj_close,factor
2011-08-19,0.272760,0.259100,0.9499193430
2011-08-26,0.323125,0.306900,0.9497872340
2011-09-02,0.325208,0.308900,0.9498536029
2011-09-09,0.322188,0.306000,0.9497560725
2011-09-16,0.388594,0.369100,0.9498345317
2011-09-23,0.339323,0.322300,0.9498324325
2011-09-30,0.308333,0.292900,0.9499469421
2011-10-07,0.334010,0.317200,0.9496721655
2011-10-14,0.414063,0.393300,0.9498554338
2011-10-21,0.394271,0.374500,0.9498543121
2011-10-28,0.426719,0.405300,0.9498053532
2011-11-04,0.400417,0.380300,0.9497598753
2011-11-11,0.398854,0.378800,0.9497209743
2011-11-18,0.349688,0.332100,0.9497037631
2011-11-25,0.303125,0.287900,0.9497732272
2011-12-02,0.368698,0.350200,0.9498288572
2011-12-09,0.376198,0.357300,0.9497658401
2011-12-16,0.336771,0.319900,0.9499036155
2011-12-23,0.359063,0.341000,0.9496940648
2011-12-30,0.354115,0.336300,0.9496914576
2012-01-06,0.392083,0.372400,0.9497989188
2012-01-13,0.399635,0.379600,0.9498667772
2012-01-20,0.433281,0.411500,0.9497300828
2012-01-27,0.446927,0.424500,0.9498195242
2012-02-03,0.483490,0.459200,0.9497611316
2012-02-10,0.493333,0.468600,0.9498654874
2012-02-17,0.516094,0.490200,0.9498269143
2012-02-24,0.528438,0.501900,0.9497803498
2012-03-02,0.551146,0.523500,0.9498391143
2012-03-09,0.553854,0.526000,0.9497087852
2012-03-16,0.595781,0.565900,0.9498456169
2012-03-23,0.607344,0.576900,0.9498735947
2012-03-30,0.623125,0.591800,0.9497291571
2012-04-05,0.627240,0.595800,0.9498756457
2012-04-13,0.583854,0.554500,0.9497236998
2012-04-20,0.569010,0.540400,0.9497196552
2012-04-27,0.608958,0.578400,0.9498191838
2012-05-04,0.541979,0.514800,0.9498522830
2012-05-11,0.527813,0.501300,0.9497681584
2012-05-18,0.448333,0.425800,0.9497404831
2012-05-25,0.475521,0.451600,0.9496951764
2012-06-01,0.437083,0.415100,0.9497051830
2012-06-08,0.492188,0.467500,0.9498402856
2012-06-15,0.496979,0.472000,0.9497383189
2012-06-22,0.504063,0.478800,0.9498812460
2012-06-29,0.520833,0.494700,0.9498245714
2012-07-06,0.518125,0.492100,0.9497708082
2012-07-13,0.500208,0.475100,0.9498048432
2012-07-20,0.520833,0.494700,0.9498245714
2012-07-27,0.535625,0.508700,0.9497316574
2012-08-03,0.551667,0.524000,0.9498484031
2012-08-10,0.584375,0.555000,0.9497325878
2012-08-17,0.622604,0.591300,0.9497208346
2012-08-24,0.621458,0.590300,0.9498630792
2012-08-31,0.618438,0.587400,0.9498122536
2012-09-07,0.650729,0.618100,0.9498577749
2012-09-14,0.671354,0.637700,0.9498714538
2012-09-21,0.676771,0.642800,0.9498043053
2012-09-28,0.631667,0.600000,0.9498675426
2012-10-05,0.641250,0.609100,0.9498635329
2012-10-12,0.579688,0.550600,0.9498212668
2012-10-19,0.551146,0.523500,0.9498391143
2012-10-26,0.543438,0.516200,0.9498783320
2012-11-02,0.535208,0.508300,0.9497242371
2012-11-09,0.493438,0.468700,0.9498660227
2012-11-16,0.467188,0.443700,0.9497247361
2012-11-23,0.527604,0.501100,0.9497653903
2012-11-30,0.549896,0.522300,0.9498159652
2012-12-07,0.527396,0.500900,0.9497606751
2012-12-14,0.521250,0.495100,0.9498321161
2012-12-21,0.541563,0.514400,0.9498433765
2012-12-28,0.506250,0.480800,0.9497283575
2013-01-04,0.575313,0.546400,0.9497439281
2013-01-11,0.590833,0.561200,0.9498453717
2013-01-18,0.586667,0.557200,0.9497721876
2013-01-25,0.583333,0.554000,0.9497147958
2013-02-01,0.599583,0.569500,0.9498267488
2013-02-08,0.607917,0.577400,0.9498006973
2013-02-15,0.601146,0.571000,0.9498524801
2013-02-22,0.583854,0.554500,0.9497236998
2013-03-01,0.590000,0.560400,0.9498305568
2013-03-08,0.626042,0.594600,0.9497765174
2013-03-15,0.623229,0.591900,0.9497311125
2013-03-22,0.624896,0.593500,0.9497580549
2013-03-28,0.635000,0.603100,0.9497637945
2013-04-05,0.605000,0.574600,0.9497520347
2013-04-12,0.661146,0.628000,0.9498658534
2013-04-19,0.606875,0.576400,0.9497837281
2013-04-26,0.647292,0.614800,0.9498031507
2013-05-03,0.718958,0.682900,0.9498468353
2013-05-10,0.747708,0.710200,0.9498360068
2013-05-17,0.786042,0.746600,0.9498220439
2013-05-24,0.757500,0.719500,0.9498349960
2013-05-31,0.751771,0.714000,0.9497573443
2013-06-07,0.755313,0.717400,0.9498049405
2013-06-14,0.720833,0.684600,0.9497345432
2013-06-21,0.670729,0.637100,0.9498620441
2013-06-28,0.691458,0.656700,0.9497323185
2013-07-05,0.731979,0.695200,0.9497540100
2013-07-12,0.816250,0.775300,0.9498315118
2013-07-19,0.794271,0.754400,0.9498017799
2013-07-26,0.817188,0.776200,0.9498426078
